"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Motor car: Passenger","Number","7630"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Van","Number","459"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Other, incl. lorry","Number","86"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Not stated","Number","345"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","All means of travel","Number","112712"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","On foot","Number","10010"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Bicycle","Number","2038"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Bus, minibus or coach","Number","22706"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Train, DART or LUAS","Number","7385"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Motorcycle or scooter","Number","143"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Motor car: Driver","Number","80957"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Motor car: Passenger","Number","12278"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Van","Number","353"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Other, incl. lorry","Number","81"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","Not stated","Number","349"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:01 - 07:30","All means of travel","Number","136300"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","On foot","Number","28079"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Bicycle","Number","4806"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Bus, minibus or coach","Number","52313"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Train, DART or LUAS","Number","11644"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Motorcycle or scooter","Number","241"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Motor car: Driver","Number","139291"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Motor car: Passenger","Number","46917"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Van","Number","684"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Other, incl. lorry","Number","174"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","Not stated","Number","1136"
"Population Usually Resident and Present in the State","2022","Female","All persons","07:31 - 08:00","All means of travel","Number","285285"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","On foot","Number","76336"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Bicycle","Number","7665"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Bus, minibus or coach","Number","29734"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Train, DART or LUAS","Number","6479"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Motorcycle or scooter","Number","264"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Motor car: Driver","Number","150211"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Motor car: Passenger","Number","112849"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Van","Number","808"
"Population Usually Resident and Present in the State","2022","Female","All persons","08:01 - 08:30","Other, incl. lorry","Number","246"
